step,tokens_per_second,model
898,1149712.6823375884,LN
899,1157905.5780122075,LN
900,1156995.8074745664,LN
910,1153728.401994808,LN
912,1157625.9962911438,LN
913,1160054.892621939,LN
915,1149793.6365609944,LN
916,1160166.6891749871,LN
917,1160681.8844502997,LN
918,1157172.775742744,LN
920,1157237.731805756,LN
921,1162994.8655044246,LN
922,1159584.2778163697,LN
925,1157553.684630755,LN
931,1155054.3408461555,LN
932,1156449.8201545842,LN
934,1156103.673320837,LN
937,1151822.8126346136,LN
938,1158414.6983581134,LN
941,1157294.5743432418,LN
942,1159329.147348702,LN
944,1157223.1160557792,LN
947,1157167.0924341683,LN
952,1156827.007470109,LN
953,1157127.3108372062,LN
954,1156479.823901382,LN
959,1159447.3248203816,LN
963,1153120.185185263,LN
964,1152445.766733608,LN
966,1155271.176184959,LN
971,1159531.286212955,LN
974,1157766.5830111792,LN
976,1156725.5888517871,LN
978,1157131.3700585207,LN
981,1151054.304806146,LN
982,1157333.5553107313,LN
983,1159090.420862212,LN
984,1158845.2786040462,LN
985,1154115.9300700964,LN
987,1156752.3616393623,LN
988,1155976.4536300115,LN
990,1159218.3269224686,LN
991,1160066.316098814,LN
992,1155666.219842283,LN
993,1154397.8587705311,LN
995,1158407.3755644476,LN
996,1155778.7919648206,LN
997,1148750.1213089589,LN
1000,1155554.4792818648,LN
1003,1147733.2580345697,LN
1005,1148962.995084434,LN
1008,1148304.6222481537,LN
1009,1150245.9074303322,LN
1010,1147377.1424882289,LN
1013,1146833.016247759,LN
1017,1137926.509501422,LN
1019,1146565.929130218,LN
1021,1145093.2080142137,LN
1022,1148104.7798829526,LN
1027,1151833.2701271002,LN
1028,1146775.601951914,LN
1029,1149175.1470475723,LN
1031,1143588.5812676034,LN
1033,1144282.8380994804,LN
1034,1150538.790144781,LN
1035,1152003.834498771,LN
1036,1152392.6203380737,LN
1039,1154717.921805577,LN
1040,1151054.304806146,LN
1041,1144363.823473209,LN
1043,1154349.379848846,LN
1044,1155434.6655905845,LN
1045,1144501.207231464,LN
1047,1143989.957316464,LN
1050,1144438.4672035195,LN
1052,1145563.2712815169,LN
1053,1144174.8754300366,LN
1054,1145896.7648874682,LN
1055,1149993.2654819496,LN
1058,1131333.784465444,LN
1059,1141534.558984372,LN
1061,1125010.3626488913,LN
1063,1138565.958231277,LN
1064,1095907.5531362526,LN
1065,1090074.4895617012,LN
1066,1092100.6328812677,LN
1069,1095520.282214465,LN
1071,1109018.8769350047,LN
1072,1103245.7468806086,LN
1073,1087861.357874074,LN
1074,1088412.7204612168,LN
1076,1085164.3087288595,LN
1077,1085665.7703185375,LN
1078,1105484.1903617943,LN
1079,1118707.150875489,LN
1083,1088056.5682257195,LN
1084,1086202.0322080113,LN
1085,1086194.8785647957,LN
1086,1124508.706652412,LN
1087,1084202.685851773,LN
1088,1088751.8560994545,LN
1091,1094453.7919853053,LN
1092,1088269.8007344136,LN
1095,1135834.0874471087,LN
1096,1084669.730299732,LN
1097,1093945.6323983571,LN
1100,1081297.5312938653,LN
1101,1087008.8519607475,LN
1105,1103516.65756519,LN
1106,1097738.414324062,LN
1108,1090524.9749656331,LN
1109,1086308.6326547146,LN
1114,1102810.5015897555,LN
1115,1090735.5693847304,LN
1118,1091651.0127170952,LN
1120,1089542.3155883665,LN
1121,1102666.724831317,LN
1123,1093565.5473730834,LN
1125,1084293.2111267657,LN
1126,1085941.7002891863,LN
1127,1075562.437500978,LN
1128,1094942.0695391234,LN
1129,1100055.7887061466,LN
1131,1093102.404013799,LN
1135,1087746.5609725213,LN
1136,1097410.4525628265,LN
1140,1099219.9680778033,LN
1141,1085363.5520866993,LN
1143,1080004.584962409,LN
1144,1093269.7861436438,LN
1147,1114981.6261786872,LN
1149,1117400.4642754064,LN
1152,1109039.0122505738,LN
1153,1102811.976417425,LN
1155,1092468.121639748,LN
1157,1091822.2873469775,LN
1158,1083375.116540173,LN
1159,1097732.5691921958,LN
1162,1087760.1918368558,LN
1163,1101121.467361282,LN
1164,1092900.309503709,LN
1165,1086151.9586841846,LN
1166,1084442.931758242,LN
1168,1084639.7703383015,LN
1169,1099453.723213244,LN
1170,1113212.3026555495,LN
1171,1140088.124174106,LN
1173,1146101.4143363836,LN
1174,1148622.1149215873,LN
1175,1141860.967332425,LN
1176,1145572.024002406,LN
1182,1147906.6049704857,LN
1185,1147882.6368372296,LN
1186,1142595.079576567,LN
1187,1153559.747128109,LN
1188,1151243.121173645,LN
1189,1148538.9260667006,LN
1192,1150509.0938709225,LN
1193,1150703.3513346063,LN
1197,1147456.1714740924,LN
1198,1149644.5613789037,LN
1199,1154118.3529392006,LN
1200,1152597.18030853,LN
1201,1148762.1233705585,LN
1202,1153012.1607076067,LN
1203,1153744.5438019547,LN
1204,1153711.4535834105,LN
1207,1154780.1768956785,LN
1209,1153788.9361006718,LN
1212,1147219.117169882,LN
1215,1155309.2116689023,LN
1216,1154106.2386954066,LN
1219,1154832.7351191477,LN
1223,1154146.6204970912,LN
1226,1151178.8363071368,LN
1231,1155434.6655905845,LN
1233,1156664.7462160264,LN
1236,1155807.9509103051,LN
1239,1152951.708079979,LN
1241,1151965.2117267663,LN
1242,1155217.7688818409,LN
1243,1157101.3324951732,LN
1249,1159237.8819287322,LN
1250,1154054.5541124633,LN
1251,1157535.8112308388,LN
1252,1158911.2369206208,LN
1256,1154423.7158604276,LN
1258,1160842.0065613186,LN
1259,1157680.439120025,LN
1261,1156896.793806941,LN
1264,1155801.471017494,LN
1266,1147223.1071724943,LN
1267,1147563.9558193418,LN
1268,1142118.7483909747,LN
1271,1142123.4939184345,LN
1275,1147613.4635634404,LN
1276,1148534.926906109,LN
1277,1151556.6127410354,LN
1278,1148736.519275654,LN
1280,1146438.409026547,LN
1281,1151483.4494385945,LN
