time,gpu_memory_usage,model
60.562657,4.53,LN
90.563732,0.0,LN
120.566191,32.93,LN
150.56906,34.67,LN
180.571015,33.8,LN
210.572934,38.53,LN
240.575566,27.47,LN
270.579379,32.6,LN
300.581964,37.8,LN
330.583675,36.93,LN
360.584734,32.8,LN
390.585371,38.4,LN
420.585991,36.8,LN
450.587769,30.87,LN
480.589919,46.27,LN
510.590578,36.73,LN
540.59116,39.0,LN
570.592743,37.87,LN
600.594375,31.13,LN
630.595529,39.87,LN
660.596888,40.33,LN
690.599172,37.73,LN
720.601135,37.73,LN
750.601907,32.53,LN
780.602574,36.07,LN
810.60324,16.53,LN
840.603994,0.0,LN
870.605821,30.67,LN
900.608491,43.0,LN
930.610131,33.4,LN
960.610807,22.67,LN
990.611543,0.0,LN
1020.612219,0.0,LN
1050.612911,0.0,LN
1080.61368,0.0,LN
1110.614337,0.0,LN
1140.614937,0.0,LN
1170.615608,0.0,LN
1200.616249,0.0,LN
1230.616932,0.0,LN
1260.617578,0.0,LN
1290.618232,0.0,LN
1320.618863,0.0,LN
1350.619552,0.0,LN
1380.620191,0.0,LN
1410.620797,0.0,LN
1440.621393,0.0,LN
1470.621987,0.0,LN
1500.622601,0.0,LN
1530.623189,0.0,LN
1560.623859,0.0,LN
1590.624512,0.0,LN
1620.625216,0.0,LN
1650.625862,0.0,LN
1680.626433,0.0,LN
1710.627012,0.0,LN
1740.627709,0.0,LN
1770.628372,0.0,LN
1800.628976,0.0,LN
1830.62954,0.0,LN
1860.630116,0.0,LN
1890.630788,0.0,LN
1920.631431,0.0,LN
1950.632014,0.0,LN
1980.632606,0.0,LN
2010.633191,0.0,LN
2040.63377,0.0,LN
2070.634443,0.0,LN
2100.635108,0.0,LN
2130.635718,0.0,LN
2160.636298,0.0,LN
2190.636988,0.0,LN
2220.637646,0.0,LN
2250.638413,0.0,LN
2280.639157,0.0,LN
2310.639902,0.0,LN
2340.640543,0.0,LN
2370.641136,0.0,LN
2400.64173,0.0,LN
2430.642431,0.0,LN
2460.643224,0.0,LN
2490.643875,0.0,LN
2520.644461,0.0,LN
2550.645057,0.0,LN
2580.645733,0.0,LN
2610.646404,0.0,LN
2640.647002,0.0,LN
2700.964795,13.53,LN
2730.965868,53.73,LN
2760.966982,65.6,LN
2790.967525,65.13,LN
2820.968089,58.73,LN
2850.968638,61.87,LN
2880.969193,58.67,LN
2910.969827,59.8,LN
2940.970447,44.27,LN
2970.971017,62.33,LN
3000.971584,61.4,LN
3030.972181,60.93,LN
3060.973114,56.67,LN
3090.973932,61.53,LN
3120.974492,56.47,LN
3150.975116,58.73,LN
3180.975677,59.53,LN
3210.976247,60.13,LN
3240.977094,64.93,LN
3270.977965,62.53,LN
3300.978545,61.47,LN
3330.979261,59.33,LN
3360.97993,56.93,LN
3390.980486,63.0,LN
3420.981022,59.27,LN
3450.981534,59.2,LN
3480.982263,60.0,LN
3510.983006,64.13,LN
3540.983533,63.73,LN
3570.984101,27.47,LN
3631.455734,16.53,LN
3691.788684,18.27,LN
3721.7896,59.4,LN
3751.790151,57.47,LN
3781.790723,61.0,LN
3811.791331,60.47,LN
3841.792237,63.07,LN
3871.793237,60.07,LN
3901.794747,40.93,LN
3931.796052,55.33,LN
3961.796741,60.0,LN
3991.797429,61.4,LN
4021.798788,60.87,LN
4051.799909,58.93,LN
4081.8005,53.27,LN
4111.801834,60.07,LN
4141.803273,60.33,LN
4171.804881,60.47,LN
4201.806907,59.6,LN
4231.807726,54.73,LN
4261.808283,59.33,LN
4291.809082,61.6,LN
4321.809852,55.27,LN
4351.810488,61.13,LN
4381.811225,61.93,LN
4411.811944,60.4,LN
4441.813216,61.67,LN
4471.814318,54.07,LN
4501.814928,61.2,LN
4531.81555,60.8,LN
4556.209411,4.6,LN
4616.546564,19.27,LN
4646.547961,57.93,LN
4676.548604,63.4,LN
4706.549333,58.93,LN
4736.550137,62.33,LN
4766.55096,62.8,LN
4796.551981,62.47,LN
4826.55279,45.67,LN
4856.55349,62.27,LN
4886.554208,63.4,LN
4916.554938,61.4,LN
4946.555885,56.93,LN
4976.556554,61.2,LN
5006.557168,55.6,LN
5036.557909,59.07,LN
5066.558788,61.13,LN
5096.559668,63.87,LN
5126.560478,57.73,LN
